"2024-09-28 08:54:14,242 INFO  [main] com.tpe.StudentManagementApplication:Starting StudentManagementApplication using Java 17.0.11 on Sefa with PID 27596 (C:\Users\sefas\OneDrive\Masaüstü\Project\student-management\target\classes started by sefasezer in C:\Users\sefas\OneDrive\Masaüstü\Project\student-management)
""2024-09-28 08:54:14,249 INFO  [main] com.tpe.StudentManagementApplication:No active profile set, falling back to 1 default profile: "default"
""2024-09-28 08:54:15,050 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2024-09-28 08:54:15,154 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 96 ms. Found 8 JPA repository interfaces.
""2024-09-28 08:54:15,675 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat initialized with port(s): 8080 (http)
""2024-09-28 08:54:15,684 INFO  [main] org.apache.catalina.core.StandardService:Starting service [Tomcat]
""2024-09-28 08:54:15,684 INFO  [main] org.apache.catalina.core.StandardEngine:Starting Servlet engine: [Apache Tomcat/9.0.68]
""2024-09-28 08:54:15,794 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring embedded WebApplicationContext
""2024-09-28 08:54:15,795 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:Root WebApplicationContext: initialization completed in 1495 ms
""2024-09-28 08:54:15,913 INFO  [main] org.hibernate.jpa.internal.util.LogHelper:HHH000204: Processing PersistenceUnitInfo [name: default]
""2024-09-28 08:54:15,961 INFO  [main] org.hibernate.Version:HHH000412: Hibernate ORM core version 5.6.12.Final
""2024-09-28 08:54:16,094 INFO  [main] org.hibernate.annotations.common.Version:HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2024-09-28 08:54:16,173 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
""2024-09-28 08:54:16,347 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
""2024-09-28 08:54:16,361 INFO  [main] org.hibernate.dialect.Dialect:HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL81Dialect
""2024-09-28 08:54:17,425 INFO  [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2024-09-28 08:54:17,434 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Initialized JPA EntityManagerFactory for persistence unit 'default'
""2024-09-28 08:54:18,295 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2024-09-28 08:54:18,460 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@24b4f4a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5d8a1456, org.springframework.security.web.context.SecurityContextPersistenceFilter@3b1895e, org.springframework.security.web.header.HeaderWriterFilter@73dd3a46, org.springframework.web.filter.CorsFilter@351fadfa, org.springframework.security.web.authentication.logout.LogoutFilter@29c76d75, com.tpe.security.jwt.AuthTokenFilter@6e5af973, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6d57b264, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2d94279f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7e1953f7, org.springframework.security.web.session.SessionManagementFilter@123426a9, org.springframework.security.web.access.ExceptionTranslationFilter@65f3f9e2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4932d580]
""2024-09-28 08:54:18,647 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat started on port(s): 8080 (http) with context path ''
""2024-09-28 08:54:18,656 INFO  [main] com.tpe.StudentManagementApplication:Started StudentManagementApplication in 4.905 seconds (JVM running for 5.643)
"
